메뉴,작업자,대분류,중분류(재료1),중분류2(재료2),중분류3(재료3),중분류4(재료4),중분류5(재료5),소분류1(육류 종류만 기재),양식(western) 여부,,,,,
야채스틱*쌈장,김윤수,샐러드류,채소류,양념 및 장류,,,,,,,,,,
양장피잡채,김윤수,볶음류,어패류,난류,곡류,,,,,,,,,
모닝샌드,김윤수,빵과자류,난류,곡류,,,,,,,,,,
쇠고기야채볶음,김윤수,볶음류,육류,채소류,,,,소,,,,,,
소고기버섯볶음,김윤수,볶음류,육류,채소류,,,,소,,,,,,
미니함박,김윤수,구이류,육류,,,,,돼지,,,,,,
조기구이,김윤수,구이류,어패류,,,,,,,,,,,
치커리배생채,김윤수,무침류,채소류,과일류,,,,,,,,,,
동그랑땡계란부침,김윤수,전류,육류,난류,곡류,,,돼지,,,,,,
순살닭갈비,김윤수,구이류,육류,채소류,,,,닭,,,,,,
얼큰소고기무국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
쪽파김무침,김윤수,무침류,채소류,해조류,,,,,,,,,,
아쿠아돈까스,김윤수,튀김류,육류,곡류,난류,,,돼지,,,,,,
치즈프레즐,김윤수,빵과자류,곡류,난류,,,,,,,,,,
우거지해장국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
목살간장조림,김윤수,조림류,육류,양념 및 장류,,,,돼지,,,,,,
마계토스트,김윤수,빵과자류,곡류,난류,,,,,,,,,,
채소피클*할라피뇨,김윤수,장아찌류,채소류,,,,,,,,,,,
두부계란부침,김윤수,전류,두류,난류,,,,,,,,,,
방풍나물,김윤수,무침류,채소류,,,,,,,,,,,
콩나물간장볶음,김윤수,볶음류,채소류,양념 및 장류,,,,,,,,,,
샐러드,김윤수,샐러드류,채소류,,,,,,,,,,,
돈까스,김윤수,튀김류,육류,난류,곡류,,,돼지,,,,,,
브로컬리죽,김윤수,죽류,채소류,곡류,,,,,,,,,,
두부양념찜,김윤수,찜류,두류,양념 및 장류,,,,,,,,,,
칠리가지탕수,김윤수,튀김류,채소류,곡류,난류,,,,,,,,,
재래김*달래양념장,김윤수,단품류,해조류,양념 및 장류,,,,,,,,,,
미니야채떡갈비,김윤수,구이류,육류,채소류,,,,돼지,,,,,,
취나물볶음,김윤수,볶음류,채소류,,,,,,,,,,,
매콤돈육메추리알장조림,김윤수,조림류,육류,난류,,,,돼지,,,,,,
쫑상추무침,김윤수,무침류,채소류,,,,,,,,,,,
돈육마늘장조림,김윤수,조림류,육류,채소류,,,,돼지,,,,,,
치아바타샌드,김윤수,빵과자류,곡류,난류,채소류,,,,,,,,,
통고추쌈장무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
몽골식돈육볶음&꽃빵,김윤수,볶음류,육류,곡류,채소류,,,돼지,,,,,,
두부쑥갓무침,김윤수,무침류,두류,채소류,,,,,,,,,,
*흑임자드레싱,김윤수,단품류,양념 및 장류,,,,,,,,,,,
카야잼샌드,김윤수,빵과자류,난류,곡류,,,,,,,,,,
스프,김윤수,죽류,채소류,,,,,,,,,,,
미니케익,김윤수,빵과자류,난류,곡류,,,,,,,,,,
나가사키짬뽕국,김윤수,국탕류,어패류,채소류,,,,,,,,,,
비엔나감자구이,김윤수,구이류,육류,채소류,,,,돼지,,,,,,
단배추나물,김윤수,무침류,채소류,,,,,,,,,,,
볶음우동,김윤수,국수류,면류,채소류,,,,,,,,,,
햄감자볶음,김윤수,볶음류,육류,채소류,,,,돼지,,,,,,
옥수수볼맛탕,김윤수,튀김류,채소류,곡류,,,,,,,,,,
겨울초겉절이,김윤수,김치류,채소류,양념 및 장류,,,,,,,,,,
황태채국,김윤수,국탕류,어패류,채소류,,,,,,,,,,
청양멸치주먹밥,김윤수,밥류,어패류,채소류,,,,,,,,,,
양상추샐러드*망고드레싱,김윤수,샐러드류,채소류,양념 및 장류,,,,,,,,,,
아메리카노,김윤수,음료 및 주류,두류,,,,,,,,,,,
고추가루:중국산),김윤수,,,,,,,,,,,,,
미니떡갈비조림,김윤수,조림류,육류,,,,,돼지,,,,,,
데리야끼파닭,김윤수,튀김류,육류,채소류,양념 및 장류,,,닭,,,,,,
참나물들깨무침,김윤수,무침류,채소류,,,,,,,,,,,
커피,김윤수,음료 및 주류,두류,,,,,,,,,,,
배추오이흑임자무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
어묵볶음,김윤수,볶음류,어패류,,,,,,,,,,,
동파삼겹수육,김윤수,찜류,육류,양념 및 장류,,,,돼지,,,,,,
조각케익,김윤수,빵과자류,난류,곡류,,,,,,,,,,
마파두부소스,김윤수,단품류,두류,양념 및 장류,,,,,,,,,,
춘권*타르타르D,김윤수,튀김류,곡류,양념 및 장류,,,,,,,,,,
햄계란말이,김윤수,구이류,육류,난류,,,,돼지,,,,,,
치커리무침,김윤수,무침류,채소류,,,,,,,,,,,
사과오이무침,김윤수,무침류,과일류,채소류,,,,,,,,,,
순대찜*소금,김윤수,찜류,육류,,,,,돼지,,,,,,
미니함박조림,김윤수,조림류,육류,,,,,돼지,,,,,,
들기름무채볶음,김윤수,볶음류,채소류,,,,,,,,,,,
에그타르트,김윤수,빵과자류,난류,곡류,,,,,,,,,,
참치야채비빔밥,김윤수,밥류,채소류,어패류,곡류,양념 및 장류,,,,,,,,
뼈해장국,김윤수,국탕류,육류,채소류,,,,ㅍ,,,,,,
콩나물국,김윤수,국탕류,채소류,,,,,,,,,,,
사골파국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
꼬지어묵탕,김윤수,국탕류,어패류,채소류,,,,,,,,,,
닭간장조림,김윤수,조림류,육류,양념 및 장류,채소류,,,닭,,,,,,
모둠채소전*장,김윤수,전류,양념 및 장류,채소류,난류,곡류,,,,,,,,
셀프충무김밥,김윤수,김(초)밥류,채소류,해조류,곡류,,,,,,,,,
주꾸미굴소스볶음,김윤수,볶음류,어패류,채소류,,,,,,,,,,
피홍합탕,김윤수,국탕류,어패류,채소류,,,,,,,,,,
두부미소된장국,김윤수,국탕류,두류,두류,양념 및 장류,,,,,,,,,
야채샌드위치,김윤수,빵과자류,곡류,난류,채소류,,,,,,,,,
콩나물된장국,김윤수,국탕류,두류,양념 및 장류,채소류,,,,,,,,,
순대오징어볶음,김윤수,볶음류,육류,어패류,채소류,,,돼지,,,,,,
돈육칠리강정,김윤수,튀김류,육류,,,,,돼지,,,,,,
김잔파무침,김윤수,무침류,채소류,해조류,,,,,,,,,,
무생채,김윤수,무침류,채소류,,,,,,,,,,,
롤케이크,김윤수,빵과자류,난류,곡류,,,,,,,,,,
수제고로케*케찹,김윤수,튀김류,곡류,난류,채소류,양념 및 장류,,,,,,,,
허니브레드,김윤수,빵과자류,난류,곡류,,,,,,,,,,
크림카레우동,김윤수,국수류,채소류,면류,,,,,,,,,,
치킨텐더,김윤수,튀김류,육류,곡류,난류,,,닭,,,,,,
크로와상샌드위치,김윤수,빵과자류,난류,곡류,,,,,,,,,,
미니에그슬럿버거,김윤수,빵과자류,난류,곡류,,,,,,,,,,
식혜,김윤수,음료 및 주류,곡류,,,,,,,,,,,
채소볶음밥,김윤수,밥류,채소류,곡류,,,,,,,,,,
멸치견과류볶음,김윤수,볶음류,어패류,두류,,,,,,,,,,
부추팽이무침,김윤수,무침류,채소류,,,,,,,,,,,
고추잡채,김윤수,볶음류,육류,면류,채소류,,,돼지,,,,,,
새우완자국,김윤수,국탕류,어패류,채소류,,,,,,,,,,
버섯볶음,김윤수,볶음류,채소류,,,,,,,,,,,
돈육고추장불고기,김윤수,볶음류,육류,양념 및 장류,채소류,,,돼지,,,,,,
베이컨계란말이,김윤수,구이류,육류,난류,,,,돼지,,,,,,
애호박나물볶음,김윤수,볶음류,채소류,,,,,,,,,,,
유부주머니국,김윤수,국탕류,두류,채소류,,,,,,,,,,
블루베리프렌치토스트,김윤수,빵과자류,난류,곡류,과일류,,,,,,,,,
두부,김윤수,단품류,두류,,,,,,,,,,,
세발나물무침,김윤수,무침류,채소류,,,,,,,,,,,
*천도복숭아,문성일,단품류,과일류,,,,,,,,,,,
단호박*팥찜,문성일,찜류,두류,,,,,,,,,,,
초장,문성일,양념 및 장류,양념 및 장류,,,,,,,,,,,
새우까스*소스,문성일,튀김류,어패류,양념 및 장류,,,,,,,,,,
*망고드레싱,문성일,양념 및 장류,양념 및 장류,망고,,,,,,,,,,
모둠묵*장,문성일,무침류,묵류,양념 및 장류,,,,,,,,,,
파래김*양념장,문성일,단품류,양념 및 장류,해조류,,,,,,,,,,
쇠고기청경채볶음,문성일,볶음류,육류,채소류,,,,소,,,,,,
닭겨자냉채,문성일,무침류,,,,,,닭,,,,,,
홍루이젠,문성일,빵과자류,,,,,,,,,,,,
통마늘너비아니조림,문성일,조림류,육류,채소류,,,,,,,,,,
얼갈이나물된장무침,문성일,무침류,채소류,,,,,,,,,,,
순대볶음,문성일,볶음류,,,,,,,,,,,,
냉이김칫국,문성일,국탕류,채소류,,,,,,,,,,,
하루나무침,문성일,무침류,채소류,,,,,,,,,,,
멸치고추장무침,문성일,무침류,어패류,양념 및 장류,,,,,,,,,,
모듬장조림,문성일,조림류,육류,난류,,,,돼지,,,,,,
두부새싹구이,문성일,구이류,두류,채소류,,,,,,,,,,
불고기필라프,문성일,밥류,육류,,,,,돼지,,,,,,
멸치호두볶음,문성일,볶음류,어패류,,,,,,,,,,,
돈육계란장조림,문성일,조림류,육류,난류,,,,돼지,,,,,,
장국,문성일,국탕류,양념 및 장류,,,,,,,,,,,
떡꼬지,문성일,튀김류,떡류,,,,,,,,,,,
오복지무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
케이준샐러드,문성일,샐러드류,육류,채소류,,,,닭,,,,,,
버섯비엔나조림,문성일,조림류,채소류,육류?,,,,,,,,,,
맛살냉채,문성일,무침류,해조류,,,,,,,,,,,
핫도그&케찹,문성일,빵과자류,,,,,,,,,,,,
어묵잡채볶음,문성일,볶음류,어패류,채소류,,,,,,,,,,
백김치,문성일,김치류,김치류,,,,,,,,,,,
양념깻잎지,문성일,장아찌류,채소류,양념 및 장류,,,,,,,,,,
토마토리코타치즈샐러드,문성일,샐러드류,채소류,과일류,,,,,,,,,,
참치덮밥,문성일,밥류,어패류,,,,,,,,,,,
계란볶음밥,문성일,밥류,난류,채소류,,,,,,,,,,
죽순버섯볶음,문성일,볶음류,채소류,,,,,,,,,,,
새송이버섯장조림,문성일,조림류,채소류,,,,,,,,,,,
갓김치,문성일,김치류,김치류,,,,,,,,,,,
섭산적구이,문성일,구이류,육류,,,,,쇠고기,,,,,,
깐풍기,문성일,튀김류,육류,,,,,돼지,,,,,,
치킨마요덮밥,문성일,밥류,육류,양념 및 장류,,,,닭,,,,,,
고등어김치찜,문성일,찜류,어패류,김치류,,,,,,,,,,
연두부*새싹장,문성일,단품류,두류,양념 및 장류,,,,,,,,,,
호박볶음,문성일,볶음류,채소류,,,,,,,,,,,
홍합짬뽕국,문성일,국탕류,어패류,,,,,,,,,,,
상추파무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
아욱국,문성일,국탕류,채소류,,,,,,,,,,,
머핀,문성일,빵과자류,,,,,,,,,,,,
마늘쫑새우볶음,문성일,볶음류,채소류,어패류,,,,,,,,,,
로제찜닭*마늘빵,문성일,찜류,빵과자류,,,,,닭,,,,,,
연근호두조림,문성일,조림류,채소류,,,,,,,,,,,
코다리강정,문성일,튀김류,어패류,,,,,,,,,,,
돈육볶음,문성일,볶음류,육류,,,,,돼지,,,,,,
해물완자전*케찹,문성일,전류,어패류,양념 및 장류,,,,,,,,,,
느타리팽이볶음,문성일,볶음류,채소류,,,,,,,,,,,
마늘종멸치볶음,문성일,볶음류,어패류,채소류,,,,,,,,,,
흑임자곤약샐러드,문성일,샐러드류,채소류,양념 및 장류,두류,,,,,,,,,
아삭고추무침,문성일,무침류,채소류,,,,,,,,,,,
간장계란장,문성일,조림류,난류,양념 및 장류,,,,,,,,,,
"피클,음료",문성일,음료 및 주류,채소류,,,,,,,,,,,
어묵곤약볶음,문성일,볶음류,두류,묵류,어패류,,,,,,,,,
두부양념조림,문성일,조림류,두류,양념 및 장류,,,,,,,,,,
쇠고기샤브국,문성일,국탕류,육류,,,,,쇠고기,,,,,,
순두부찌개,문성일,찌개류,두류,,,,,,,,,,,
조각사과,문성일,단품류,과일류,,,,,,,,,,,
물냉면,문성일,국수류,면류,,,,,,,,,,,
파게트,문성일,빵과자류,난류,,,,,,,,,,,
순두부된장국,문성일,국탕류,두류,채소류,,,,,,,,,,
맛탕,문성일,튀김류,채소류,양념 및 장류,,,,,,,,,,
삼치구이,문성일,구이류,어패류,,,,,,,,,,,
땅콩크림빵,문성일,빵과자류,채소류,난류,,,,,,,,,,
토마토설탕절인,문성일,샐러드류,과일류,,,,,,,,,,,
쌈장,문성일,단품류,양념 및 장류,,,,,,,,,,,
주스,문성일,음료 및 주류,,,,,,,,,,,,
호박잎찌개,문성일,찌개류,채소류,,,,,,,,,,,
새우살죽,문성일,죽류,어패류,,,,,,,,,,,
스크램블,문성일,볶음류,육류,난류,,,,,,,,,,
비타민흑임자샐러드,문성일,샐러드류,채소류,양념 및 장류,,,,,,,,,,
호박죽,문성일,죽류,채소류,,,,,,,,,,,
해물볶음우동,문성일,볶음류,어패류,면류,,,,,,,,,,
쇠고기퀘사디아,문성일,전류,육류,채소류,,,,쇠고기,,,,,,
풋마늘대무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
바지락콩나물국,문성일,국탕류,어패류,채소류,,,,,,,,,,
케이준치킨샐러드,문성일,샐러드류,육류,채소류,,,,,,,,,,
카레덮밥,문성일,밥류,양념 및 장류,,,,,,,,,,,
쌀국수,문성일,국수류,면류,,,,,,,,,,,
딤섬,문성일,찜류,만두류,,,,,,,,,,,
보코치니샐러드,문성일,샐러드류,채소류,,,,,,,,,,,
꽈배기도너츠,문성일,빵과자류,난류,,,,,,,,,,,
감자찌개,문성일,찌개류,채소류,,,,,,,,,,,
만두찜,문성일,찜류,만두류,,,,,,,,,,,
로제파스타,문성일,국수류,면류,,,,,,,,,,,
슈크림,문성일,빵과자류,난류,,,,,,,,,,,
두부떡국,문성일,국탕류,두류,떡류,,,,,,,,,,
가지쇠고기볶음,문성일,볶음류,육류,채소류,,,,쇠고기,,,,,,
메론롤케익,문성일,빵과자류,과일류,,,,,,,,,,,
유부주머니우동국,문성일,국탕류,면류,채소류,,,,,,,,,,
동태포전,문성일,전류,어패류,,,,,,,,,,,
등심돈까스,문성일,튀김류,육류,,,,,,,,,,,
"양상추,",문성일,샐러드류,채소류,,,,,,,,,,,
새송이버섯조림,문성일,조림류,채소류,양념 및 장류,,,,,,,,,,
모둠튀김*칠리소스,문성일,튀김류,양념 및 장류,,,,,,,,,,,
단호박계란찜,문성일,찜류,난류,채소류,,,,,,,,,,
코다리양념조림,문성일,조림류,어패류,양념 및 장류,,,,,,,,,,
김말이튀김,문성일,튀김류,면류,해조류,,,,,,,,,,
부추팽이겉절이,문성일,김치류,김치류,채소류,,,,,,,,,,
하와이안필라프,문성일,밥류,채소류,과일류,,,,,,,,,,
해물동그랑땡전,문성일,전류,어패류,,,,,,,,,,,
유부된장국,문성일,국탕류,채소류,,,,,,,,,,,
들깨버섯무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
등심찹쌀꿔바로우,문성일,튀김류,육류,,,,,돼지고기,,,,,,
탄두리치킨,문성일,튀김류,육류,,,,,닭,,,,,,
카레라이스,문성일,밥류,양념 및 장류,,,,,,,,,,,
에그샐러드,문성일,샐러드류,난류,채소류,,,,,,,,,,
자반무침,문성일,무침류,해조류,양념 및 장류,,,,,,,,,,
삼치된장구이,문성일,구이류,어패류,양념 및 장류,,,,,,,,,,
쇠고기숙주볶음,문성일,볶음류,육류,채소류,,,,쇠고기,,,,,,
조각티라미수,문성일,빵과자류,난류,,,,,,,,,,,
피자샌드,문성일,빵과자류,난류,,,,,,,,,,,
꽈리고추찜,문성일,찜류,채소류,,,,,,,,,,,
돈삼겹보쌈,문성일,찜류,육류,,,,,돼지,,,,,,
궁중떡찜,문성일,찜류,떡류,,,,,,,,,,,
돈채호박볶음,문성일,볶음류,채소류,,,,,,,,,,,
오이쑥갓겉절이,문성일,김치류,채소류,김치류,,,,,,,,,,
북어계란국,문성일,국탕류,어패류,난류,,,,,,,,,,
사과베이비샐러드,문성일,샐러드류,과일류,채소류,,,,,,,,,,
매운계란파국,문성일,국탕류,난류,양념 및 장류,,,,,,,,,,
김치말이국수,문성일,국수류,김치류,면류,,,,,,,,,,
오렌지주스,문성일,음료 및 주류,,,,,,,,,,,,
해물겨자냉채,문성일,무침류,해조류,채소류,양념 및 장류,,,,,,,,,
수제비국,문성일,국탕류,,,,,,,,,,,,
쇠고기규동덮밥,문성일,밥류,육류,양념 및 장류,,,,쇠고기,,,,,,
마늘쫑볶음,문성일,볶음류,채소류,,,,,,,,,,,
콩조림,문성일,조림류,채소류,두류,,,,,,,,,,
매운사태찜,문성일,찜류,어패류,양념 및 장류,,,,,,,,,,
초계국수,문성일,국수류,면류,,,,,,,,,,,
우렁살된장국,문성일,국탕류,어패류,,,,,,,,,,,
콩나물오징어국,문성일,국탕류,어패류,채소류,,,,,,,,,,
꽁치허브구이,문성일,구이류,어패류,채소류,,,,,,,,,,
김치주먹밥,문성일,밥류,김치류,,,,,,,,,,,
고사리들깨나물,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
설렁탕,문성일,국탕류,육류,,,,,소,,,,,,
토란탕,문성일,국탕류,채소류,,,,,,,,,,,
씨크립샌드,문성일,단품류,난류,,,,,,,,,,,
마늘쫑장아찌,문성일,장아찌류,채소류,,,,,,,,,,,
후르츠산도,문성일,단품류,과일류,,,,,,,,,,,
햄볶음밥,문성일,밥류,채소류,,,,,,,,,,,
닭오븐구이,문성일,구이류,육류,,,,,닭,,,,,,
칼국수,문성일,국수류,면류,,,,,,,,,,,
마약계란장조림,문성일,조림류,난류,양념 및 장류,,,,,,,,,,
연두부*참깨드레싱소스,문성일,찜류,두류,양념 및 장류,,,,,,,,,,
산채비빔밥,문성일,밥류,채소류,,,,,,,,,,,
오이맛살초무침,문성일,무침류,채소류,어패류,양념 및 장류,,,,,,,,,
물미역초무침,문성일,무침류,해조류,양념 및 장류,,,,,,,,,,
두유,문성일,음료 및 주류,두류,,,,,,,,,,,
양파,문성일,단품류,채소류,,,,,,,,,,,
소고기죽,문성일,죽류,육류,,,,,소,,,,,,
홍합무우국,문성일,국탕류,어패류,채소류,,,,,,,,,,
방울양배추베이컨볶음,문성일,볶음류,채소류,육류,,,,,,,,,,
닭살해장국,문성일,국탕류,육류,,,,,닭,,,,,,
잡채밥,문성일,밥류,채소류,,,,,,,,,,,
훈제오리냉채,문성일,무침류,육류,해조류,,,,오리,,,,,,
간장불고기,문성일,볶음류,육류,양념 및 장류,,,,불고기,,,,,,
생선초밥,문성일,밥류,어패류,,,,,,,,,,,
제육춘장볶음,문성일,볶음류,육류,양념 및 장류,,,,돼지,,,,,,
양념갈비찜,문성일,찜류,육류,양념 및 장류,,,,돼지,,,,,,
북어채국,문성일,국탕류,어패류,,,,,,,,,,,
돈육두루치기,문성일,볶음류,육류,,,,,돼지,,,,,,
김치국수,문성일,국수류,면류,,,,,,,,,,,
청포도,문성일,단품류,과일류,,,,,,,,,,,
동태탕,문성일,국탕류,어패류,,,,,,,,,,,
꽈리고추찹쌀무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
무쌈,문성일,조림류,채소류,,,,,,,,,,,
파인애플볶음밥,문성일,밥류,과일류,,,,,,,,,,,
브리또,문성일,빵과자류,,,,,,,,,,,,
쿠키,문성일,빵과자류,,,,,,,,,,,,
쌀밥,문성일,밥류,곡류,,,,,,,,,,,
분홍소세지구이*케찹,문성일,구이류,육류,,,,,,,,,,,
언양식불고기,문성일,볶음류,육류,,,,,불고기,,,,,,
오뗄햄김밥,문성일,밥류,해조류,육류,,,,,,,,,,
인절미토스트,문성일,빵과자류,떡류,,,,,,,,,,,
시금치샐러드,문성일,샐러드류,채소류,,,,,,,,,,,
육개장,문성일,국탕류,채소류,육류,,,,,,,,,,
꽁채캔김치조림,문성일,조림류,어패류,김치류,,,,,,,,,,
깻잎양념찜,문성일,장아찌류,채소류,양념 및 장류,,,,,,,,,,
시나몬페스츄리,문성일,빵과자류,,,,,,,,,,,,
타워함박스테이크,문성일,구이류,육류,,,,,돼지,,,,,,
짜장잡채덮밥,문성일,밥류,채소류,,,,,,,,,,,
쇠고기장조림,문성일,조림류,육류,,,,,쇠고기,,,,,,
해파리겨자채,문성일,무침류,해조류,채소류,,,,,,,,,,
순대야채볶음,문성일,볶음류,채소류,,,,,,,,,,,
문어꽈리초조림,문성일,조림류,어패류,채소류,,,,,,,,,,
구운어묵볶음,문성일,볶음류,어패류,,,,,,,,,,,
오징어굴소스볶음,문성일,볶음류,어패류,양념 및 장류,,,,,,,,,,
칠리미트볼조림,문성일,조림류,육류,양념 및 장류,,,,소,돼지,,,,,
매콤호박볶음,문성일,볶음류,채소류,양념 및 장류,,,,,,,,,,
해물전,문성일,전류,어패류,,,,,,,,,,,
안동찜닭,문성일,찜류,육류,,,,,닭,,,,,,
묵은지닭찜,문성일,찜류,육류,김치류,,,,닭,,,,,,
겉절이김치,문성일,김치류,채소류,,,,,,,,,,,
숯불양념꼬지어묵,문성일,조림류,어패류,양념 및 장류,,,,,,,,,,
봄동무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
우거지된장국,문성일,국탕류,채소류,,,,,,,,,,,
느타리애호박볶음,문성일,볶음류,채소류,,,,,,,,,,,
두부된장찌개,문성일,찌개류,두류,채소류,,,,,,,,,,
갈치튀김,문성일,튀김류 ,어패류,,,,,,,,,,,
참치채소볶음,문성일,볶음류,어패류,채소류,,,,,,,,,,
다시마채무초무침,문성일,무침류,해조류,채소류,,,,,,,,,,
순살파닭,문성일,튀김류,육류,채소류,,,,닭,,,,,,
깻잎고기전,문성일,전류,채소류,육류,,,,소,돼지,,,,,
매운돈갈비찜,문성일,찜류,육류,양념 및 장류,,,,돼지,,,,,,
채소볶음우동,문성일,볶음류,채소류,면류,,,,,,,,,,
얼갈이쌈장무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
곤드레밥*강된장,문성일,밥류,채소류,곡류,양념 및 장류,,,,,,,,,
과일주스,문성일,음료 및 주류,과일류,,,,,,,,,,,
비빔채소만두,문성일,무침류,면류,난류,채소류,,,,,,,,,
반반치킨,문성일,튀김류,육류,,,,,닭,,,,,,
쑥된장국,문성일,국탕류,채소류,양념 및 장류,,,,,,,,,,
도라지생채,문성일,무침류,채소류,,,,,,,,,,,
쌈만두,문성일,찜류,면류,육류,채소류,,,돼지,,,,,,
잡채밥&짜장소스,문성일,밥류,면류,곡류,양념 및 장류,,,,,,,,,
아이스슈,문성일,빵과자류,,,,,,,,,,,,
모자반무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
풋마늘초무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
간장찜닭,문성일,찜류,육류,양념 및 장류,,,,닭,,,,,,
스파게티,문성일,국수류,면류,,,,,,,,,,,
해물짬뽕,문성일,국탕류,면류,어패류,,,,,,,,,,
명란연근전,문성일,전류,채소류,어패류,,,,,,,,,,
쇠고기볶음밥,문성일,밥류,육류,채소류,곡류,,,소,,,,,,
동전문어조림,문성일,조림류,어패류,,,,,,,,,,,
해물우동볶음,문성일,볶음류,면류,어패류,,,,,,,,,,
오꼬노미계란말이,문성일,구이류,난류,어패류,,,,,,,,,,
오징어브로컬리,문성일,무침류,어패류,채소류,,,,,,,,,,
양파초절임,문성일,장아찌류,채소류,,,,,,,,,,,
참치죽,문성일,죽류,어패류,곡류,,,,,,,,,,
물만둣국,문성일,국탕류,난류,채소류,면류,,,,,,,,,
쥐어채무침,문성일,무침류,어패류,양념 및 장류,,,,,,,,,,
미소된장국,문성일,국탕류,채소류,양념 및 장류,,,,,,,,,,
구이김,문성일,구이류,해초류,,,,,,,,,,,
매운소고기국,문성일,국탕류,육류,,,,,소,,,,,,
시리얼과일샐러드,문성일,샐러드류,과일류,,,,,,,,,,,
왕새우튀김,문성일,튀김류,어패류,,,,,,,,,,,
감자소세지볶음,문성일,볶음류,육류,채소류,,,,돼지,,,,,,
곤드레밥,문성일,밥류,곡류,채소류,,,,,,,,,,
머위순나물,문성일,나물류,채소류,,,,,,,,,,,
동태찌개,문성일,찌개류,어패류,,,,,,,,,,,
올갱이아욱국,문성일,국탕류,어패류,,,,,,,,,,,
새알팥죽,문성일,죽류,두류,,,,,,,,,,,
해물손수제비,문성일,국수류,어패류,면류,,,,,,,,,,
토스트,문성일,빵과자류,나류,,,,,,,,,,,
메추리알곤약조림,문성일,조림류,난류,묵류,,,,,,,,,,
옥수수맛탕,문성일,튀김류,채소류,,,,,,,,,,,
계란파국,문성일,국탕류,난류,채소류,,,,,,,,,,
자몽샐러드,문성일,샐러드류,과일류,,,,,,,,,,,
더덕무침,문성일,무침류,채소류,,,,,,,,,,,
감자만두,문성일,찜류,채소류,면류,난류,육류,,돼지,,,,,,
맑은버섯국,문성일,국탕류,채소류,,,,,,,,,,,
오이초무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
시금치초고추장무침,문성일,무침류,채소류,양념 및 장류,,,,,,,,,,
깐풍연근,문성일,튀김류,채소류,,,,,,,,,,,
늙은호박전,문성일,전류,채소류,,,,,,,,,,,
닭죽,문성일,죽류,육류,곡류,,,,닭,,,,,,
수제동그랑땡전*케찹,문성일,전류,난류,채소류,양념 및 장류,,,,,,,,,
비빔국수,문성일,국수류,면류,양념 및 장류,,,,,,,,,,
치커리유자청무침,문성일,무침류,채소류,,,,,,,,,,,
프렌치토스트,문성일,빵과자류,곡류,난류,,,,,,,,,,
쭈꾸미볶음,문성일,볶음류,어패류,채소류,,,,,,,,,,
미니잔치국수,문성일,국수류,면류,채소류,어패류,,,,,,,,,
단호박찐빵,문성일,빵과자류,난류,곡류,채소류,,,,,,,,,
누룽지탕,문성일,국탕류,곡류,,,,,,,,,,,
마늘종호두조림,문성일,조림류,채소류,두류,,,,,,,,,,
포도,문성일,단품류,과일류,,,,,,,,,,,
가자미엿장구이,문성일,구이류,어패류,양념 및 장류,,,,,,,,,,
가자미카레튀김,문성일,튀김류,어패류,,,,,,,,,,,
생선가스,문성일,튀김류,어패류,,,,,,,,,,,
짬뽕순두부찌개,문성일,찌개류,두류,어패류,채소류,,,,,,,,,
오리훈제볶음밥,문성일,밥류,육류,곡류,채소류,,,오리,,,,,,
호떡맥모닝,문성일,빵과자류,난류,두류,,,,,,,,,,
브로컬리크림스프,문성일,죽류,채소류,,,,,,,,,,,
건새우무나물,문성일,무침류,어패류,채소류,,,,,,,,,,
오징어채소볶음,문성일,볶음류,어패류,채소류,,,,,,,,,,
돈나물오리엔탈무침,문성일,무침류,채소류,,,,,,,,,,,
콩자반,문성일,무침류,두류,,,,,,,,,,,
아롱사태샐러드*들깨소스,문성일,샐러드류,육류,양념 및 장류,채소류,,,소,,,,,,
꽁치오븐구이,문성일,구이류,어패류,,,,,,,,,,,
꽁치김치말이,문성일,찜류,어패류,김치류,,,,,,,,,,
잡채,문성일,무침류,육류,채소류,,,,돼지,,,,,,
도넛츠,문성일,빵과자류,난류,곡류,,,,,,,,,,
돈육매콤조림,문성일,조림류,육류,채소류,,,,돼지,,,,,,
깻잎쌈*생강채,문성일,찜류,채소류,양념 및 장류,,,,,,,,,,
애플잼쿠키,문성일,빵과자류,난류,곡류,,,,,,,,,,
돈육청경채볶음,문성일,볶음류,육류,채소류,,,,돼지,,,,,,
포테이토오븐구이,문성일,구이류,채소류,,,,,,,,,,,
참치야채죽,문성일,죽류,어패류,곡류,채소류,,,,,,,,,
